date,S,I,R,observed_I,beta,nu
2021-05-08,14691520.703696797,639.0511697698408,7840.24513343341,494847.0,1.0812986268511735,1.0
2021-05-15,14690830.097132018,690.6065647792276,8479.296303203251,511382.0,1.0812986268511735,1.0
2021-05-22,14690083.81102786,746.2861041584622,9169.902867982479,524029.0,1.0812986268511735,1.0
2021-05-29,14689277.397238495,806.4137893649618,9916.18897214094,531795.0,1.0812986268511735,1.0
2021-06-05,14688406.059158383,871.3380801114319,10722.602761505903,537007.0,1.0812986268511735,1.0
2021-06-12,14687464.625586834,941.4335715497319,11593.940841617336,540492.0,1.0812986268511735,1.0
2021-06-19,14686447.522829765,1017.1027570677074,12535.374413167068,542912.0,1.0812986268511735,1.0
2021-06-26,14685348.744954193,1098.7778755730278,13552.477170234775,544796.0,1.0812986268511735,1.0
2021-07-03,14684161.822113387,1186.9228408064646,14651.255045807804,546268.0,1.0812986268511735,1.0
2021-07-10,14682879.786864778,1282.0352486098195,15838.177886614269,547495.0,1.0812986268511735,1.0
2021-07-17,14681495.138408652,1384.6484561257048,17120.213135224087,548539.0,1.0812986268511735,1.0
2021-07-24,14679999.804684075,1495.333724577018,18504.861591349792,549641.0,1.0812986268511735,1.0
2021-07-31,14678385.102269568,1614.7024145069208,20000.19531592681,550990.0,1.0812986268511735,1.0
2021-08-07,14676641.694050474,1743.4082190932327,21614.89773043373,552893.0,1.0812986268511735,1.0
2021-08-14,14674759.544633158,1882.1494173162807,23358.305949526963,556063.0,1.0812986268511735,1.0
2021-08-21,14672727.873508874,2031.6711242824865,25240.45536684324,560206.0,1.0812986268511735,1.0
2021-08-28,14670535.105998065,2192.7675108081985,27272.126491125728,564971.0,1.0812986268511735,1.0
2021-09-04,14668168.8220397,2366.283958365854,29464.894001933928,570150.0,1.0812986268511735,1.0
2021-09-11,14665615.702931099,2553.119108600837,31831.17796029978,575207.0,1.0812986268511735,1.0
2021-09-18,14662861.476172345,2754.2267587546,34384.29706890062,580118.0,1.0812986268511735,1.0
2021-09-25,14659890.858626952,2970.6175453917317,37138.52382765522,584518.0,1.0812986268511735,1.0
2021-10-02,14656687.498278208,3203.3603487452483,40109.14137304695,588466.0,1.0812986268511735,1.0
2021-10-09,14653233.914939512,3453.5833386956447,43312.5017217922,592309.0,1.0812986268511735,1.0
2021-10-16,14649511.440368678,3722.474570832645,46766.08506048784,595210.0,1.0812986268511735,1.0
2021-10-23,14645500.158341492,4011.2820271873356,50488.55963132049,597833.0,1.0812986268511735,1.0
2021-10-30,14641178.845360415,4321.312981075646,54499.84165850782,600338.0,1.0812986268511735,1.0
2021-11-06,14636524.912811294,4653.932549120643,58821.15463958347,603629.0,1.0812986268511735,1.0
2021-11-13,14631514.35153525,5010.56127604402,63475.08718870411,607612.0,1.0812986268511735,1.0
2021-11-20,14626121.679955807,5392.671579443689,68485.64846474813,612189.0,1.0812986268511735,1.0
2021-11-27,14620319.897092989,5801.782862816992,73878.32004419182,617624.0,1.0812986268511735,1.0
2021-12-04,14614080.442006998,6239.455085991357,79680.10290700881,624230.0,1.0812986268511735,1.0
2021-12-11,14607373.16144351,6707.280563488759,85919.55799300017,633242.0,1.0812986268511735,1.0
2021-12-18,14600166.28769954,7206.8737439699,92626.83855648893,652356.0,1.0812986268511735,1.0
2021-12-25,14592426.428990746,7739.858708794154,99833.71230045884,705514.0,1.0812986268511735,1.0
2022-01-01,14584118.574874584,8307.854116163118,107573.57100925299,807841.0,1.0812986268511735,1.0
2022-01-08,14575206.119563736,8912.455310846686,115881.4251254161,899260.0,1.0812986268511735,1.0
2022-01-15,14565650.906243745,9555.213319990593,124793.88043626279,973025.0,1.0812986268511735,1.0
2022-01-22,14555413.295778574,10237.61046517107,134349.09375625337,1019843.0,1.0812986268511735,1.0
2022-01-29,14544452.263436351,10961.032342222574,144586.70422142444,1051964.0,1.0812986268511735,1.0
2022-02-05,14532725.527480097,11726.735956253578,155547.73656364702,1074251.0,1.0812986268511735,1.0
2022-02-12,14520189.713627324,12535.813852774829,167274.4725199006,1092008.0,1.0812986268511735,1.0
2022-02-19,14506800.559467072,13389.154160251303,179810.28637267541,1105523.0,1.0812986268511735,1.0
2022-02-26,14492513.162909139,14287.396557933636,193199.4405329267,1117883.0,1.0812986268511735,1.0
2022-03-05,14477282.278600512,15230.884308627188,207486.83709086035,1129245.0,1.0812986268511735,1.0
2022-03-12,14461062.665948749,16219.612651764004,222717.72139948755,1140607.0,1.0812986268511735,1.0
2022-03-19,14443809.491909154,17253.174039595728,238937.33405125156,1151936.0,1.0812986268511735,1.0
2022-03-26,14425478.790990025,18330.70091912825,256190.5080908473,1166299.0,1.0812986268511735,1.0
2022-04-02,14406027.983976591,19450.80701343322,274521.20900997554,1184369.0,1.0812986268511735,1.0
2022-04-09,14385416.455641838,20611.5283347532,293972.01602340874,1206931.0,1.0812986268511735,1.0
2022-04-16,14363606.190179812,21810.265462025927,314583.5443581619,1230037.0,1.0812986268511735,1.0
2022-04-23,14340562.461252527,23043.72892728521,336393.80982018786,1251990.0,1.0812986268511735,1.0
2022-04-30,14316254.57138742,24307.889865107365,359437.5387474731,1269166.0,1.0812986268511735,1.0
2022-05-07,14290656.633018538,25597.938368881354,383745.42861258046,1283281.0,1.0812986268511735,1.0
2022-05-14,14263748.380773578,26908.2522449609,409343.3669814618,1294614.0,1.0812986268511735,1.0
2022-05-21,14235516.001738949,28232.379034629637,436251.61922642274,1303135.0,1.0812986268511735,1.0
2022-05-28,14205952.96748368,29563.03425526838,464483.99826105236,1309194.0,1.0812986268511735,1.0
2022-06-04,14175060.848717922,30892.11876575839,494047.03251632076,1314537.0,1.0812986268511735,1.0
2022-06-11,14142850.090760505,32210.757957418016,524939.1512820792,1319596.0,1.0812986268511735,1.0
